treatment,collar,Month,Day,CO2 (ppm),Sample Time (seconds)
Control,4,7,20,412,19
Control,4,7,20,414,24
Control,4,7,20,417,28
Control,4,7,20,419,33
Control,4,7,20,420,38
Control,4,7,20,422,43
Control,4,7,20,426,48
Control,4,7,20,428,52
Control,4,7,20,431,57
Control,4,7,20,433,62
Control,4,7,20,435,67
Control,4,7,20,436,72
Control,4,7,20,438,76
Control,4,7,20,439,81
Control,4,7,20,441,86
Control,4,7,20,442,91
Control,4,7,20,444,96
Control,4,7,20,446,100
Control,4,7,20,448,105
Control,4,7,20,449,110
Control,4,7,20,451,115
Control,4,7,20,452,120
Control,4,7,20,453,124
Control,5,7,20,429,0
Control,5,7,20,430,4
Control,5,7,20,431,9
Control,5,7,20,431,14
Control,5,7,20,432,19
Control,5,7,20,432,24
Control,5,7,20,433,28
Control,5,7,20,433,33
Control,5,7,20,433,38
Control,5,7,20,433,43
Control,5,7,20,433,48
Control,5,7,20,433,52
Control,5,7,20,432,57
Control,5,7,20,432,62
Control,5,7,20,433,67
Control,5,7,20,433,72
Control,5,7,20,434,76
Control,5,7,20,435,81
Control,5,7,20,435,86
Control,5,7,20,436,91
Control,5,7,20,437,96
Control,5,7,20,437,100
Control,5,7,20,437,105
Control,5,7,20,437,110
Control,5,7,20,437,115
Control,5,7,20,438,120
Control,5,7,20,438,124
Control,6,7,20,439,0
Control,6,7,20,439,4
Control,6,7,20,439,9
Control,6,7,20,439,14
Control,6,7,20,439,19
Control,6,7,20,439,24
Control,6,7,20,439,28
Control,6,7,20,438,33
Control,6,7,20,439,38
Control,6,7,20,439,43
Control,6,7,20,439,48
Control,6,7,20,439,52
Control,6,7,20,439,57
Control,6,7,20,439,62
Control,6,7,20,439,67
Control,6,7,20,439,72
Control,6,7,20,439,76
Control,6,7,20,439,81
Control,6,7,20,439,86
Control,6,7,20,439,91
Control,6,7,20,439,96
Control,6,7,20,439,100
Control,6,7,20,440,105
Control,6,7,20,439,110
Control,6,7,20,439,115
Control,6,7,20,439,120
Control,6,7,20,439,124
Control,2,7,20,425,0
Control,2,7,20,425,4
Control,2,7,20,425,9
Control,2,7,20,425,14
Control,2,7,20,424,19
Control,2,7,20,425,24
Control,2,7,20,425,28
Control,2,7,20,425,33
Control,2,7,20,425,38
Control,2,7,20,424,43
Control,2,7,20,425,48
Control,2,7,20,425,52
Control,2,7,20,425,57
Control,2,7,20,425,62
Control,2,7,20,425,67
Control,2,7,20,425,72
Control,2,7,20,425,76
Control,2,7,20,425,81
Control,2,7,20,425,86
Control,2,7,20,425,91
Control,2,7,20,425,96
Control,2,7,20,425,100
Control,2,7,20,425,105
Control,2,7,20,425,110
Control,2,7,20,425,115
Control,2,7,20,425,120
Control,2,7,20,425,124
Control,1,7,20,408,0
Control,1,7,20,409,4
Control,1,7,20,409,9
Control,1,7,20,410,14
Control,1,7,20,415,19
Control,1,7,20,414,24
Control,1,7,20,415,28
Control,1,7,20,415,33
Control,1,7,20,418,38
Control,1,7,20,424,43
Control,1,7,20,424,48
Control,1,7,20,426,52
Control,1,7,20,429,57
Control,1,7,20,431,62
Control,1,7,20,433,67
Control,1,7,20,436,72
Control,1,7,20,437,76
Control,1,7,20,438,81
Control,1,7,20,439,86
Control,1,7,20,438,91
Control,1,7,20,438,96
Control,1,7,20,439,100
Control,1,7,20,440,105
Control,1,7,20,441,110
Control,1,7,20,444,115
Control,1,7,20,446,120
Control,1,7,20,447,124
Control,3,7,20,414,0
Control,3,7,20,416,4
Control,3,7,20,417,9
Control,3,7,20,417,14
Control,3,7,20,418,19
Control,3,7,20,424,24
Control,3,7,20,430,28
Control,3,7,20,433,33
Control,3,7,20,433,38
Control,3,7,20,434,43
Control,3,7,20,436,48
Control,3,7,20,438,52
Control,3,7,20,439,57
Control,3,7,20,439,62
Control,3,7,20,441,67
Control,3,7,20,442,72
Control,3,7,20,443,76
Control,3,7,20,444,81
Control,3,7,20,445,86
Control,3,7,20,446,91
Control,3,7,20,447,96
Control,3,7,20,449,100
Control,3,7,20,451,105
Control,3,7,20,452,110
Control,3,7,20,453,115
Control,3,7,20,455,120
Control,3,7,20,457,124
Retain,4,8,19,382,0
Retain,4,8,19,388,4
Retain,4,8,19,400,9
Retain,4,8,19,395,14
Retain,4,8,19,394,19
Retain,4,8,19,393,24
Retain,4,8,19,392,28
Retain,4,8,19,395,33
Retain,4,8,19,402,38
Retain,4,8,19,408,43
Retain,4,8,19,412,48
Retain,4,8,19,417,52
Retain,4,8,19,420,57
Retain,4,8,19,427,62
Retain,4,8,19,429,67
Retain,4,8,19,432,72
Retain,4,8,19,434,76
Control,4,8,20,424,0
Control,4,8,20,431,4
Control,4,8,20,423,9
Control,4,8,20,424,14
Control,4,8,20,424,19
Control,4,8,20,425,24
Control,4,8,20,426,28
Control,4,8,20,426,33
Control,4,8,20,427,38
Control,4,8,20,428,43
Control,4,8,20,428,48
Control,4,8,20,429,52
Control,4,8,20,431,57
Control,4,8,20,434,62
Control,4,8,20,437,67
Control,4,8,20,442,72
Control,4,8,20,445,76
Control,4,8,20,447,81
Control,4,8,20,449,86
Control,4,8,20,452,91
Control,4,8,20,455,96
Control,4,8,20,455,100
Control,4,8,20,458,105
Control,4,8,20,462,110
Control,4,8,20,466,115
Control,4,8,20,468,120
Control,4,8,20,471,124
Control,5,8,20,409,0
Control,5,8,20,421,4
Control,5,8,20,416,9
Control,5,8,20,416,14
Control,5,8,20,417,19
Control,5,8,20,418,24
Control,5,8,20,420,28
Control,5,8,20,421,33
Control,5,8,20,421,38
Control,5,8,20,422,43
Control,5,8,20,421,48
Control,5,8,20,422,52
Control,5,8,20,423,57
Control,5,8,20,424,62
Control,5,8,20,425,67
Control,5,8,20,428,72
Control,5,8,20,430,76
Control,5,8,20,430,81
Control,5,8,20,431,86
Control,5,8,20,433,91
Control,5,8,20,436,96
Control,5,8,20,438,100
Control,5,8,20,437,105
Control,5,8,20,439,110
Control,5,8,20,446,115
Control,5,8,20,446,120
Control,5,8,20,450,124
Control,6,8,20,410,0
Control,6,8,20,413,4
Control,6,8,20,415,9
Control,6,8,20,416,14
Control,6,8,20,415,19
Control,6,8,20,415,24
Control,6,8,20,416,28
Control,6,8,20,418,33
Control,6,8,20,419,38
Control,6,8,20,420,43
Control,6,8,20,421,48
Control,6,8,20,420,52
Control,6,8,20,417,57
Control,6,8,20,416,62
Control,6,8,20,417,67
Control,6,8,20,417,72
Control,6,8,20,419,76
Control,6,8,20,420,81
Control,6,8,20,421,86
Control,6,8,20,422,91
Control,6,8,20,423,96
Control,6,8,20,424,100
Control,6,8,20,426,105
Control,6,8,20,428,110
Control,6,8,20,430,115
Control,6,8,20,433,120
Control,6,8,20,435,124
Control,2,8,20,418,0
Control,2,8,20,417,4
Control,2,8,20,420,9
Control,2,8,20,422,14
Control,2,8,20,422,19
Control,2,8,20,421,24
Control,2,8,20,422,28
Control,2,8,20,424,33
Control,2,8,20,427,38
Control,2,8,20,429,43
Control,2,8,20,431,48
Control,2,8,20,432,52
Control,2,8,20,433,57
Control,2,8,20,433,62
Control,2,8,20,433,67
Control,2,8,20,433,72
Control,2,8,20,430,76
Control,2,8,20,429,81
Control,2,8,20,427,86
Control,2,8,20,428,91
Control,2,8,20,430,96
Control,2,8,20,432,100
Control,2,8,20,433,105
Control,2,8,20,435,110
Control,2,8,20,437,115
Control,2,8,20,438,120
Control,2,8,20,438,124
Control,1,8,20,401,0
Control,1,8,20,402,4
Control,1,8,20,403,9
Control,1,8,20,403,14
Control,1,8,20,407,19
Control,1,8,20,411,24
Control,1,8,20,417,28
Control,1,8,20,420,33
Control,1,8,20,418,38
Control,1,8,20,418,43
Control,1,8,20,419,48
Control,1,8,20,419,52
Control,1,8,20,420,57
Control,1,8,20,420,62
Control,1,8,20,421,67
Control,1,8,20,421,72
Control,1,8,20,422,76
Control,1,8,20,422,81
Control,1,8,20,423,86
Control,1,8,20,424,91
Control,1,8,20,426,96
Control,1,8,20,427,100
Control,1,8,20,429,105
Control,1,8,20,431,110
Control,1,8,20,433,115
Control,1,8,20,436,120
Control,1,8,20,439,124
Control,3,8,20,396,0
Control,3,8,20,405,4
Control,3,8,20,403,9
Control,3,8,20,403,14
Control,3,8,20,402,19
Control,3,8,20,403,24
Control,3,8,20,403,28
Control,3,8,20,403,33
Control,3,8,20,404,38
Control,3,8,20,405,43
Control,3,8,20,406,48
Control,3,8,20,408,52
Control,3,8,20,408,57
Control,3,8,20,409,62
Control,3,8,20,409,67
Control,3,8,20,409,72
Control,3,8,20,409,76
Control,3,8,20,410,81
Control,3,8,20,410,86
Control,3,8,20,410,91
Control,3,8,20,411,96
Control,3,8,20,412,100
Control,3,8,20,414,105
Control,3,8,20,414,110
Control,3,8,20,416,115
Control,3,8,20,418,120
Control,3,8,20,419,124
Remove,4,9,17,467,0
Remove,4,9,17,470,4
Remove,4,9,17,472,9
Remove,4,9,17,469,14
Remove,4,9,17,466,19
Remove,4,9,17,464,24
Remove,4,9,17,463,28
Remove,4,9,17,465,33
Remove,4,9,17,467,38
Remove,4,9,17,468,43
Remove,4,9,17,468,48
Remove,4,9,17,469,52
Remove,4,9,17,471,57
Remove,4,9,17,473,62
Remove,4,9,17,475,67
Remove,4,9,17,477,72
Remove,4,9,17,478,76
Remove,4,9,17,480,81
Remove,4,9,17,482,86
Remove,4,9,17,484,91
Remove,4,9,17,485,96
Remove,4,9,17,487,100
Remove,4,9,17,488,105
Remove,4,9,17,490,110
Remove,4,9,17,492,115
Remove,4,9,17,493,120
Remove,4,9,17,495,124
Remove,3,9,17,427,0
Remove,3,9,17,450,4
Remove,3,9,17,474,9
Remove,3,9,17,477,14
Remove,3,9,17,451,19
Remove,3,9,17,437,24
Remove,3,9,17,431,28
Remove,3,9,17,429,33
Remove,3,9,17,431,38
Remove,3,9,17,433,43
Remove,3,9,17,434,48
Remove,3,9,17,433,52
Remove,3,9,17,433,57
Remove,3,9,17,436,62
Remove,3,9,17,441,67
Remove,3,9,17,445,72
Remove,3,9,17,446,76
Remove,3,9,17,447,81
Remove,3,9,17,451,86
Remove,3,9,17,453,91
Remove,3,9,17,454,96
Remove,3,9,17,454,100
Remove,3,9,17,455,105
Remove,3,9,17,458,110
Remove,3,9,17,461,115
Remove,3,9,17,463,120
Remove,3,9,17,464,124
Remove,6,9,17,380,0
Remove,6,9,17,379,4
Remove,6,9,17,359,9
Remove,6,9,17,357,14
Remove,6,9,17,358,19
Remove,6,9,17,358,24
Remove,6,9,17,357,28
Remove,6,9,17,355,33
Remove,6,9,17,354,38
Remove,6,9,17,354,43
Remove,6,9,17,353,48
Remove,6,9,17,353,52
Remove,6,9,17,336,57
Remove,6,9,17,319,62
Remove,6,9,17,319,67
Remove,6,9,17,318,72
Remove,6,9,17,318,76
Remove,6,9,17,318,81
Remove,6,9,17,319,86
Remove,6,9,17,319,91
Remove,6,9,17,320,96
Remove,6,9,17,321,100
Remove,6,9,17,321,105
Remove,6,9,17,322,110
Remove,6,9,17,323,115
Remove,6,9,17,324,120
Remove,6,9,17,325,124
Remove,5,9,17,358,0
Remove,5,9,17,359,4
Remove,5,9,17,360,9
Remove,5,9,17,362,14
Remove,5,9,17,364,19
Remove,5,9,17,366,24
Remove,5,9,17,368,28
Remove,5,9,17,370,33
Remove,5,9,17,372,38
Remove,5,9,17,374,43
Remove,5,9,17,375,48
Remove,5,9,17,376,52
Remove,5,9,17,378,57
Remove,5,9,17,379,62
Remove,5,9,17,380,67
Remove,5,9,17,382,72
Remove,5,9,17,385,76
Remove,5,9,17,386,81
Remove,5,9,17,389,86
Remove,5,9,17,391,91
Remove,5,9,17,393,96
Remove,5,9,17,396,100
Remove,5,9,17,398,105
Remove,5,9,17,401,110
Remove,5,9,17,403,115
Remove,5,9,17,405,120
Remove,5,9,17,408,124
Remove,1,9,17,363,0
Remove,1,9,17,364,4
Remove,1,9,17,364,9
Remove,1,9,17,364,14
Remove,1,9,17,364,19
Remove,1,9,17,363,24
Remove,1,9,17,364,28
Remove,1,9,17,365,33
Remove,1,9,17,367,38
Remove,1,9,17,369,43
Remove,1,9,17,371,48
Remove,1,9,17,374,52
Remove,1,9,17,376,57
Remove,1,9,17,379,62
Remove,1,9,17,381,67
Remove,1,9,17,383,72
Remove,1,9,17,385,76
Remove,1,9,17,386,81
Remove,1,9,17,389,86
Remove,1,9,17,391,91
Remove,1,9,17,393,96
Remove,1,9,17,395,100
Remove,1,9,17,397,105
Remove,1,9,17,399,110
Remove,1,9,17,401,115
Remove,1,9,17,403,120
Remove,1,9,17,405,124
Remove,2,9,17,356,0
Remove,2,9,17,359,4
Remove,2,9,17,375,9
Remove,2,9,17,368,14
Remove,2,9,17,361,19
Remove,2,9,17,362,24
Remove,2,9,17,363,28
Remove,2,9,17,366,33
Remove,2,9,17,364,38
Remove,2,9,17,366,43
Remove,2,9,17,368,48
Remove,2,9,17,368,52
Remove,2,9,17,373,57
Remove,2,9,17,379,62
Remove,2,9,17,379,67
Remove,2,9,17,379,72
Remove,2,9,17,379,76
Remove,2,9,17,381,81
Remove,2,9,17,382,86
Remove,2,9,17,383,91
Remove,2,9,17,386,96
Remove,2,9,17,386,100
Remove,2,9,17,383,105
Remove,2,9,17,384,110
Remove,2,9,17,389,115
Remove,2,9,17,388,120
Remove,2,9,17,392,124
Retain,1,9,17,264,0
Retain,1,9,17,269,4
Retain,1,9,17,271,9
Retain,1,9,17,270,14
Retain,1,9,17,268,19
Retain,1,9,17,270,24
Retain,1,9,17,272,28
Retain,1,9,17,273,33
Retain,1,9,17,273,38
Retain,1,9,17,274,43
Retain,1,9,17,273,48
Retain,1,9,17,273,52
Retain,1,9,17,273,57
Retain,1,9,17,273,62
Retain,1,9,17,274,67
Retain,1,9,17,274,72
Retain,1,9,17,275,76
Retain,1,9,17,277,81
Retain,1,9,17,278,86
Retain,1,9,17,280,91
Retain,1,9,17,283,96
Retain,1,9,17,285,100
Retain,1,9,17,286,105
Retain,1,9,17,287,110
Retain,1,9,17,289,115
Retain,1,9,17,291,120
Retain,1,9,17,293,124
Retain,2,9,17,451,0
Retain,2,9,17,450,4
Retain,2,9,17,450,9
Retain,2,9,17,449,14
Retain,2,9,17,449,19
Retain,2,9,17,449,24
Retain,2,9,17,450,28
Retain,2,9,17,450,33
Retain,2,9,17,450,38
Retain,2,9,17,451,43
Retain,2,9,17,452,48
Retain,2,9,17,453,52
Retain,2,9,17,454,57
Retain,2,9,17,456,62
Retain,2,9,17,458,67
Retain,2,9,17,460,72
Retain,2,9,17,462,76
Retain,2,9,17,464,81
Retain,2,9,17,466,86
Retain,2,9,17,467,91
Retain,2,9,17,469,96
Retain,2,9,17,470,100
Retain,2,9,17,472,105
Retain,2,9,17,474,110
Retain,2,9,17,476,115
Retain,2,9,17,477,120
Retain,2,9,17,478,124
Retain,3,9,17,454,0
Retain,3,9,17,459,4
Retain,3,9,17,468,9
Retain,3,9,17,469,14
Retain,3,9,17,467,19
Retain,3,9,17,464,24
Retain,3,9,17,462,28
Retain,3,9,17,460,33
Retain,3,9,17,459,38
Retain,3,9,17,460,43
Retain,3,9,17,460,48
Retain,3,9,17,461,52
Retain,3,9,17,462,57
Retain,3,9,17,463,62
Retain,3,9,17,463,67
Retain,3,9,17,464,72
Retain,3,9,17,465,76
Retain,3,9,17,465,81
Retain,3,9,17,467,86
Retain,3,9,17,467,91
Retain,3,9,17,468,96
Retain,3,9,17,471,100
Retain,3,9,17,472,105
Retain,3,9,17,474,110
Retain,3,9,17,476,115
Retain,3,9,17,477,120
Retain,3,9,17,478,124
Retain,4,9,17,498,0
Retain,4,9,17,500,4
Retain,4,9,17,500,9
Retain,4,9,17,500,14
Retain,4,9,17,500,19
Retain,4,9,17,500,24
Retain,4,9,17,500,28
Retain,4,9,17,500,33
Retain,4,9,17,501,38
Retain,4,9,17,502,43
Retain,4,9,17,502,48
Retain,4,9,17,502,52
Retain,4,9,17,503,57
Retain,4,9,17,503,62
Retain,4,9,17,503,67
Retain,4,9,17,503,72
Retain,4,9,17,504,76
Retain,4,9,17,504,81
Retain,4,9,17,505,86
Retain,4,9,17,505,91
Retain,4,9,17,506,96
Retain,4,9,17,507,100
Retain,4,9,17,507,105
Retain,4,9,17,508,110
Retain,4,9,17,510,115
Retain,4,9,17,512,120
Retain,4,9,17,514,124
Retain,6,9,17,557,0
Retain,6,9,17,557,4
Retain,6,9,17,561,9
Retain,6,9,17,562,14
Retain,6,9,17,571,19
Retain,6,9,17,575,24
Retain,6,9,17,571,28
Retain,6,9,17,568,33
Retain,6,9,17,568,38
Retain,6,9,17,571,43
Retain,6,9,17,572,48
Retain,6,9,17,573,52
Retain,6,9,17,576,57
Retain,6,9,17,578,62
Retain,6,9,17,579,67
Retain,6,9,17,582,72
Retain,6,9,17,584,76
Retain,6,9,17,585,81
Retain,6,9,17,587,86
Retain,6,9,17,590,91
Retain,6,9,17,594,96
Retain,6,9,17,596,100
Retain,6,9,17,596,105
Retain,6,9,17,597,110
Retain,6,9,17,599,115
Retain,6,9,17,600,120
Retain,6,9,17,601,124
Retain,5,9,17,521,0
Retain,5,9,17,520,4
Retain,5,9,17,521,9
Retain,5,9,17,521,14
Retain,5,9,17,525,19
